doc_id,filename,language,document_type,validation_case,ocr_challenges,survey_no_printed,owner_name_printed,village,district
ENG_013_land_ownership_record,english/ENG_013_land_ownership_record.png,english,land_ownership_record,VALID,faded_text;font_size_variation;handwritten_fields;text_near_border,21/4C,Fatima Sheikh,Bassi Kalan,Bhopal
ENG_014_patta_ror_record,english/ENG_014_patta_ror_record.png,english,patta_ror_record,OWNER_MISMATCH,complex_background;handwritten_fields;mixed_language;poor_scan;text_near_border,459/3A,Arjun Menon,Ganeshpur Extension,Bhopal
ENG_015_sale_deed_summary,english/ENG_015_sale_deed_summary.png,english,sale_deed_summary,VALID,font_size_variation;handwritten_fields;poor_scan;stamp_overlap,58/4A,Sanjay Kapoor,Bassi Kalan,Jaipur Rural
ENG_016_property_registration_extract,english/ENG_016_property_registration_extract.png,english,property_registration_extract,DUPLICATE,noise;rotation_skew;text_near_border,202/2A,Siddappa Kori,Halebeedu Colony,Mysuru
ENG_017_land_transfer_record,english/ENG_017_land_transfer_record.png,english,land_transfer_record,SURVEY_MISMATCH,font_size_variation;handwritten_fields;handwritten_signature;noise;text_near_border,460/1A,Priyanka Chawla,Kharadi Gaon,Jaipur Rural
ENG_018_mutation_record,english/ENG_018_mutation_record.png,english,mutation_record,LOW_OCR_QUALITY,faded_text;font_size_variation;mixed_language;noise;poor_scan;rotation_skew;text_near_border;uneven_lighting,135/4B,Aditya Kulkarni,Kharadi Gaon,Bhopal
HIN_007_land_ownership_record,hindi/HIN_007_land_ownership_record.png,hindi,land_ownership_record,VALID,complex_background;font_size_variation;poor_scan;uneven_lighting,95/4C,Kiran Bala Devi,Devi Nagar Purwa,Lucknow
HIN_008_patta_ror_record,hindi/HIN_008_patta_ror_record.png,hindi,patta_ror_record,SURVEY_MISMATCH,faded_text;font_size_variation;mixed_language;rotation_skew;stamp_overlap,31/4B,Anjali Mishra,Basantpur Majra,Agra
HIN_009_sale_deed_summary,hindi/HIN_009_sale_deed_summary.png,hindi,sale_deed_summary,MULTIPLE_CONFLICT,complex_background;handwritten_fields;poor_scan;stamp_overlap;uneven_lighting,200/2C,Rekha Saxena,Shivpuri Kheda,Agra
HIN_010_property_registration_extract,hindi/HIN_010_property_registration_extract.png,hindi,property_registration_extract,HISTORICAL_CONFLICT,handwritten_fields;mixed_language;rotation_skew;stamp_overlap,242/2A,Vinod Kumar Yadav,Shivpuri Kheda,Agra
HIN_011_land_transfer_record,hindi/HIN_011_land_transfer_record.png,hindi,land_transfer_record,LOW_OCR_QUALITY,faded_text;handwritten_fields;handwritten_signature;mixed_language;noise;poor_scan;rotation_skew;uneven_lighting,328/2A,Neha Singh Rathore,Rampur Kalan,Agra
HIN_012_mutation_record,hindi/HIN_012_mutation_record.png,hindi,mutation_record,AREA_MISMATCH,handwritten_fields;handwritten_signature;mixed_language;stamp_overlap;text_near_border,393/1B,Neha Singh Rathore,Nangla Bharat,Lucknow
KAN_025_land_ownership_record,kannada/KAN_025_land_ownership_record.png,kannada,land_ownership_record,HISTORICAL_CONFLICT,faded_text;font_size_variation;handwritten_signature;mixed_language;stamp_overlap,382/4A,Ramesh Naik,Doddaballapura Extn.,Tumakuru
KAN_026_patta_ror_record,kannada/KAN_026_patta_ror_record.png,kannada,patta_ror_record,AREA_MISMATCH,faded_text;handwritten_fields;mixed_language;text_near_border;uneven_lighting,19/3A,Deepa Shetty,Yediyur Grama,Mysuru
KAN_027_sale_deed_summary,kannada/KAN_027_sale_deed_summary.png,kannada,sale_deed_summary,VALID,complex_background;faded_text;mixed_language,428/4B,Shalini Rao,Belur Agrahara,Mysuru
KAN_028_property_registration_extract,kannada/KAN_028_property_registration_extract.png,kannada,property_registration_extract,DUPLICATE,complex_background;font_size_variation;mixed_language;poor_scan;stamp_overlap,202/2A,Siddappa Kori,Halebeedu Colony,Mysuru
KAN_029_land_transfer_record,kannada/KAN_029_land_transfer_record.png,kannada,land_transfer_record,MISSING_FIELD,stamp_overlap;text_near_border;uneven_lighting,431/1B,Girish Achar,Belur Agrahara,Shivamogga
KAN_030_mutation_record,kannada/KAN_030_mutation_record.png,kannada,mutation_record,MULTIPLE_CONFLICT,faded_text;handwritten_signature;text_near_border,205/3C,Ashwini Desai,Kadaba Kaval,Mandya
TAM_001_land_ownership_record,tamil/TAM_001_land_ownership_record.png,tamil,land_ownership_record,DUPLICATE,complex_background;faded_text;font_size_variation;handwritten_fields;mixed_language;stamp_overlap,47/2C,S. Arunkumar,Vadakku Vellur,Madurai
